PGA,T1base,T1full,T2base,T2full,T3base,T3full,T4base,T4full,T5base,T5full,T6base,T6full
1.36,0.9871886569950944,0.9369807726336127,0.9878474724376566,0.9379028998922166,0.9882790823228703,0.9422865900961754,0.9902110326072402,0.9512421045052749,0.9884548464498583,0.9403122859870601,0.9868207360053063,0.9382860124261949
1.41,0.9906100962249997,0.9447566224235835,0.9899632803215247,0.9437265223662925,0.9905817283365645,0.9493809192271517,0.9923147736535556,0.9590485072091915,0.9901667684798608,0.9510178228513094,0.9902510649893252,0.948765383404219
1.46,0.9905245404598076,0.9543499498934686,0.9914405019004298,0.954252900330776,0.9912434057759352,0.9556854500144952,0.9940307374747164,0.965942386635046,0.9927346515248645,0.9538870003452031,0.9914832207652167,0.9560195204317721
1.51,0.9926060396869136,0.9596652680564479,0.9932680853919139,0.9612917176596203,0.9941405994051301,0.9601354107826956,0.9954047406823264,0.970305785881665,0.9938107434302474,0.9618501306532005,0.9928456871562824,0.9601463086692487
1.56,0.9940024066247446,0.9632301576132887,0.9943347781112041,0.9661645970609343,0.9944384609084033,0.9642820238917013,0.9964184424848739,0.9740430632888677,0.9945350181352482,0.9677552208114244,0.9958807316855941,0.9670764129881437
1.61,0.9961025143879745,0.9705785140967627,0.9948943061989788,0.9692679535560308,0.9944768436661493,0.9737538748122425,0.9969863704125587,0.9776720603349813,0.9949507173694865,0.9730466777420393,0.9955228647729331,0.9678295718241644
1.66,0.9960200415953391,0.97161877042762,0.9969050179624512,0.9720034478090295,0.9957522529525037,0.9743524590979691,0.9970932286833966,0.979031528811082,0.9963786264752514,0.9758464276090135,0.9964153729077074,0.9722863578008596
1.71,0.9971881706159205,0.9787674177371914,0.9967127724842475,0.9771178896083157,0.9975974198279133,0.9793676041876743,0.9973771926472389,0.9829745101933406,0.9974979601102529,0.9803444024532569,0.995797482660556,0.9783493570903246
1.76,0.9975450127336744,0.9821060584484741,0.9976044280721702,0.9802380308905574,0.9970926854075802,0.9803195103107554,0.9977680148819192,0.98438019572766,0.9976296464202531,0.9825320143043401,0.9974597845394255,0.9810895166368747
1.81,0.9980853864784227,0.9837093681922415,0.9972723005720227,0.9847602640349733,0.9981349041013173,0.9827893159455515,0.99877867167494,0.9876324153123905,0.9977613327302532,0.983928386816801,0.9978030568989543,0.9845979150349483
1.86,0.9985139582762383,0.984757227630074,0.9980416516927131,0.9852769906226994,0.9981227986419656,0.9868102513652673,0.9990137740176535,0.9901546066504925,0.9982222348152539,0.9855125447790914,0.9983522926741998,0.9859566529538986
1.91,0.9982996723773311,0.986363366354518,0.9987410618024316,0.9869990587669379,0.9987286524439793,0.9889531979622954,0.9985985209724085,0.9898852674681708,0.9992098821402554,0.9883153464505563,0.9991615517839362,0.9895361698734205
1.96,0.9989756400586517,0.9900263010275763,0.99867112079146,0.9885372558905948,0.9983828498106562,0.989657598998632,0.9992733071709315,0.9911833398729559,0.9985644306927378,0.988050012709412,0.9987642195056343,0.9900701035921627
2.0,0.9991028191415416,0.9900644564882313,0.9988110028134038,0.9896911191579973,0.9992427587641035,0.9902798718293849,0.9992733071709313,0.9924286923702953,0.9986831369002548,0.9912782884255613,0.9986955650337285,0.989687019079321
